Strike,Latest,Theor.,IV,Delta,Gamma,Theta,Vega,Rho,Volume,"Open Int",Vol/OI,"ITM Prob",Type,"Last Trade"
"6,280.00",674.80,483.20,25.70%,0.6606,0.0004,-2.0875,11.7637,9.3029,0,5,0.00,60.99%,Call,03/06/26
"6,285.00",0.00,479.35,25.63%,0.6586,0.0004,-2.0858,11.7904,9.2802,0,0,0.00,60.78%,Call,N/A
"6,290.00",452.10,475.80,25.59%,0.6565,0.0004,-2.0857,11.8182,9.2551,1,2,0.50,60.56%,Call,03/20/26
"6,295.00",0.00,472.10,25.53%,0.6544,0.0005,-2.0847,11.8451,9.2310,0,0,0.00,60.34%,Call,N/A
"6,300.00",456.83,468.40,25.47%,0.6523,0.0005,-2.0836,11.8717,9.2067,68,"6,372",0.01,60.12%,Call,03/20/26
"6,305.00",0.00,464.70,25.41%,0.6502,0.0005,-2.0824,11.8980,9.1823,0,0,0.00,59.90%,Call,N/A
"6,310.00",556.80,461.10,25.36%,0.6480,0.0005,-2.0816,11.9244,9.1569,0,4,0.00,59.67%,Call,03/13/26
"6,315.00",0.00,457.30,25.29%,0.6459,0.0005,-2.0795,11.9498,9.1329,0,0,0.00,59.45%,Call,N/A
"6,320.00",547.10,453.85,25.25%,0.6437,0.0005,-2.0794,11.9762,9.1062,0,6,0.00,59.22%,Call,03/13/26
"6,325.00",545.10,450.20,25.19%,0.6415,0.0005,-2.0780,12.0016,9.0809,0,589,0.00,59.00%,Call,03/13/26
"6,330.00",643.00,446.60,25.14%,0.6394,0.0005,-2.0768,12.0268,9.0550,0,4,0.00,58.77%,Call,03/05/26
"6,335.00",0.00,442.80,25.06%,0.6372,0.0005,-2.0743,12.0512,9.0303,0,0,0.00,58.54%,Call,N/A
"6,340.00",413.80,439.30,25.01%,0.6350,0.0005,-2.0734,12.0761,9.0034,19,15,1.27,58.31%,Call,03/20/26
"6,345.00",0.00,435.45,24.94%,0.6328,0.0005,-2.0704,12.0998,8.9787,0,0,0.00,58.09%,Call,N/A
"6,350.00",405.50,432.15,24.90%,0.6305,0.0005,-2.0704,12.1247,8.9502,23,"2,621",0.01,57.85%,Call,03/20/26
"6,355.00",0.00,428.35,24.83%,0.6283,0.0005,-2.0674,12.1478,8.9248,0,0,0.00,57.62%,Call,N/A
"6,360.00",400.50,425.05,24.79%,0.6260,0.0005,-2.0672,12.1720,8.8960,10,5,2.00,57.38%,Call,03/20/26
"6,365.00",395.50,421.15,24.71%,0.6238,0.0005,-2.0634,12.1944,8.8709,6,1,6.00,57.15%,Call,03/20/26
"6,370.00",528.30,417.75,24.66%,0.6215,0.0005,-2.0624,12.2176,8.8424,0,16,0.00,56.91%,Call,03/16/26
"6,375.00",494.60,414.45,24.63%,0.6192,0.0005,-2.0618,12.2407,8.8132,0,543,0.00,56.67%,Call,03/13/26
"6,380.00",661.04,410.80,24.56%,0.6169,0.0005,-2.0591,12.2627,8.7860,0,3,0.00,56.43%,Call,02/17/26
"6,385.00",0.00,407.15,24.49%,0.6146,0.0005,-2.0562,12.2843,8.7586,0,0,0.00,56.19%,Call,N/A
"6,390.00",492.50,403.75,24.44%,0.6123,0.0005,-2.0547,12.3061,8.7295,0,6,0.00,55.95%,Call,03/13/26
"6,395.00",0.00,400.00,24.36%,0.6100,0.0005,-2.0510,12.3269,8.7023,0,0,0.00,55.71%,Call,N/A
"6,400.00",372.67,396.65,24.32%,0.6076,0.0005,-2.0495,12.3481,8.6727,19,"5,360",0.00,55.46%,Call,03/20/26
"6,405.00",0.00,393.10,24.26%,0.6052,0.0005,-2.0467,12.3685,8.6439,0,0,0.00,55.22%,Call,N/A
"6,410.00",394.80,389.85,24.22%,0.6028,0.0005,-2.0455,12.3890,8.6134,15,24,0.63,54.97%,Call,03/20/26
"6,415.00",0.00,386.20,24.14%,0.6004,0.0005,-2.0419,12.4085,8.5849,0,0,0.00,54.73%,Call,N/A
"6,420.00",563.30,382.95,24.10%,0.5980,0.0005,-2.0404,12.4283,8.5541,0,5,0.00,54.48%,Call,03/06/26
"6,425.00",400.80,379.50,24.04%,0.5956,0.0005,-2.0377,12.4473,8.5242,0,"2,122",0.00,54.23%,Call,03/19/26
"6,430.00",384.54,376.20,24.00%,0.5931,0.0005,-2.0356,12.4661,8.4933,1,2,0.50,53.97%,Call,03/20/26
"6,435.00",478.00,372.45,23.91%,0.5907,0.0005,-2.0310,12.4840,8.4644,0,16,0.00,53.73%,Call,03/16/26
"6,440.00",458.90,369.25,23.87%,0.5882,0.0005,-2.0292,12.5021,8.4328,0,7,0.00,53.47%,Call,03/13/26
"6,445.00",372.80,365.70,23.80%,0.5858,0.0005,-2.0254,12.5194,8.4025,1,0,0.00,53.22%,Call,03/20/26
"6,450.00",385.74,362.35,23.75%,0.5833,0.0005,-2.0225,12.5365,8.3712,0,"4,867",0.00,52.96%,Call,03/19/26
"6,455.00",0.00,358.95,23.69%,0.5808,0.0005,-2.0192,12.5531,8.3399,0,0,0.00,52.71%,Call,N/A
"6,460.00",439.60,355.70,23.64%,0.5783,0.0005,-2.0166,12.5694,8.3078,0,5,0.00,52.45%,Call,03/13/26
"6,465.00",0.00,352.20,23.57%,0.5758,0.0005,-2.0125,12.5850,8.2765,0,0,0.00,52.19%,Call,N/A
"6,470.00",433.90,349.15,23.54%,0.5732,0.0005,-2.0108,12.6005,8.2432,0,17,0.00,51.93%,Call,03/13/26
"6,475.00",365.00,345.75,23.47%,0.5707,0.0005,-2.0069,12.6153,8.2112,0,657,0.00,51.67%,Call,03/19/26
"6,480.00",0.00,342.35,23.41%,0.5681,0.0005,-2.0029,12.6297,8.1789,0,0,0.00,51.41%,Call,N/A
"6,485.00",0.00,338.85,23.34%,0.5655,0.0005,-1.9982,12.6435,8.1467,0,0,0.00,51.14%,Call,N/A
"6,490.00",314.40,335.70,23.29%,0.5629,0.0005,-1.9954,12.6570,8.1132,9,9,1.00,50.88%,Call,03/20/26
"6,495.00",316.47,332.25,23.22%,0.5603,0.0005,-1.9907,12.6700,8.0804,29,0,0.00,50.61%,Call,03/20/26
"6,500.00",319.93,328.90,23.16%,0.5577,0.0005,-1.9864,12.6825,8.0471,339,"15,054",0.02,50.35%,Call,03/20/26
"6,505.00",309.26,325.65,23.10%,0.5551,0.0005,-1.9825,12.6945,8.0133,2,5,0.40,50.08%,Call,03/20/26
"6,510.00",404.80,322.60,23.06%,0.5525,0.0005,-1.9795,12.7060,7.9786,0,6,0.00,49.81%,Call,03/13/26
"6,515.00",354.20,319.20,22.99%,0.5498,0.0005,-1.9745,12.7169,7.9448,0,14,0.00,49.54%,Call,03/19/26
"6,520.00",295.40,316.10,22.94%,0.5471,0.0005,-1.9710,12.7274,7.9100,2,13,0.15,49.27%,Call,03/20/26
"6,525.00",293.30,312.95,22.89%,0.5444,0.0005,-1.9671,12.7373,7.8751,60,881,0.07,49.00%,Call,03/20/26
"6,530.00",289.00,309.80,22.84%,0.5417,0.0005,-1.9630,12.7467,7.8400,207,6,34.50,48.72%,Call,03/20/26
"6,535.00",290.00,306.30,22.75%,0.5390,0.0005,-1.9568,12.7555,7.8055,479,3,159.67,48.45%,Call,03/20/26
"6,540.00",289.00,303.35,22.71%,0.5363,0.0005,-1.9535,12.7638,7.7695,731,23,31.78,48.17%,Call,03/20/26
"6,545.00",284.00,299.95,22.64%,0.5336,0.0005,-1.9476,12.7715,7.7343,845,0,0.00,47.89%,Call,03/20/26
"6,550.00",290.00,296.70,22.57%,0.5308,0.0005,-1.9423,12.7787,7.6985,"1,126","8,535",0.13,47.62%,Call,03/20/26
"6,555.00",284.00,293.60,22.52%,0.5280,0.0006,-1.9377,12.7852,7.6622,"1,664",5,332.80,47.34%,Call,03/20/26
"6,560.00",280.00,290.70,22.48%,0.5253,0.0006,-1.9340,12.7911,7.6254,"1,276",15,85.07,47.06%,Call,03/20/26
"6,565.00",280.00,287.35,22.40%,0.5225,0.0006,-1.9277,12.7965,7.5891,524,21,24.95,46.77%,Call,03/20/26
"6,570.00",280.00,284.30,22.35%,0.5197,0.0006,-1.9229,12.8013,7.5521,"1,013",2,506.50,46.49%,Call,03/20/26
"6,575.00",266.60,281.30,22.30%,0.5169,0.0006,-1.9182,12.8054,7.5148,103,651,0.16,46.21%,Call,03/20/26
"6,580.00",263.70,278.20,22.24%,0.5140,0.0006,-1.9128,12.8090,7.4774,494,87,5.68,45.93%,Call,03/20/26
"6,585.00",260.11,274.85,22.16%,0.5112,0.0006,-1.9059,12.8119,7.4400,329,1,329.00,45.64%,Call,03/20/26
"6,590.00",255.80,271.95,22.11%,0.5083,0.0006,-1.9012,12.8141,7.4020,"1,075",8,134.38,45.35%,Call,03/20/26
"6,595.00",252.50,268.70,22.04%,0.5054,0.0006,-1.8945,12.8157,7.3639,"3,815",5,763.00,45.06%,Call,03/20/26
"6,600.00",255.60,265.70,21.98%,0.5025,0.0006,-1.8890,12.8166,7.3255,"11,113","10,413",1.07,44.77%,Call,03/20/26
"6,605.00",245.10,262.65,21.92%,0.4996,0.0006,-1.8830,12.8169,7.2869,"1,880",16,117.50,44.48%,Call,03/20/26
"6,610.00",241.70,259.90,21.88%,0.4968,0.0006,-1.8785,12.8165,7.2480,"1,368",8,171.00,44.19%,Call,03/20/26
"6,615.00",265.00,256.60,21.80%,0.4938,0.0006,-1.8708,12.8153,7.2088,291,473,0.62,43.89%,Call,03/20/26
"6,620.00",237.20,253.80,21.76%,0.4909,0.0006,-1.8657,12.8135,7.1696,232,838,0.28,43.60%,Call,03/20/26
"6,625.00",253.50,250.80,21.69%,0.4879,0.0006,-1.8593,12.8110,7.1299,489,"3,850",0.13,43.31%,Call,03/20/26
"6,630.00",231.80,247.95,21.64%,0.4850,0.0006,-1.8536,12.8078,7.0902,"1,524","3,784",0.40,43.02%,Call,03/20/26
"6,635.00",231.80,244.75,21.56%,0.4819,0.0006,-1.8458,12.8038,7.0499,763,"1,738",0.44,42.71%,Call,03/20/26
"6,640.00",241.20,241.20,21.46%,0.4788,0.0006,-1.8357,12.7988,7.0088,92,"2,425",0.04,42.40%,Call,03/20/26
"6,645.00",225.40,238.90,21.45%,0.4759,0.0006,-1.8326,12.7936,6.9689,31,"2,800",0.01,42.12%,Call,03/20/26
"6,650.00",219.90,236.05,21.39%,0.4729,0.0006,-1.8262,12.7874,6.9282,"1,490","20,408",0.07,41.82%,Call,03/20/26
"6,655.00",265.00,233.25,21.34%,0.4699,0.0006,-1.8199,12.7805,6.8873,0,475,0.00,41.52%,Call,03/19/26
"6,660.00",232.40,230.40,21.28%,0.4669,0.0006,-1.8131,12.7727,6.8460,248,876,0.28,41.22%,Call,03/20/26
"6,665.00",259.00,227.55,21.22%,0.4638,0.0006,-1.8061,12.7642,6.8046,0,"1,150",0.00,40.92%,Call,03/19/26
"6,670.00",211.92,224.70,21.16%,0.4608,0.0006,-1.7990,12.7549,6.7628,11,495,0.02,40.61%,Call,03/20/26
"6,675.00",213.90,221.85,21.10%,0.4577,0.0006,-1.7917,12.7447,6.7208,1,"3,049",0.00,40.31%,Call,03/20/26
"6,680.00",200.20,219.15,21.05%,0.4546,0.0006,-1.7850,12.7339,6.6789,2,"1,230",0.00,40.01%,Call,03/20/26
"6,685.00",218.60,216.10,20.97%,0.4514,0.0006,-1.7761,12.7218,6.6357,2,294,0.01,39.69%,Call,03/20/26
"6,690.00",210.40,213.50,20.93%,0.4484,0.0006,-1.7697,12.7094,6.5936,19,771,0.02,39.39%,Call,03/20/26
"6,695.00",194.40,210.60,20.86%,0.4452,0.0006,-1.7613,12.6958,6.5502,8,154,0.05,39.08%,Call,03/20/26
"6,700.00",192.20,208.00,20.81%,0.4421,0.0006,-1.7545,12.6817,6.5076,147,"33,171",0.00,38.77%,Call,03/20/26
"6,705.00",192.51,205.20,20.74%,0.4389,0.0006,-1.7463,12.6665,6.4640,2,483,0.00,38.46%,Call,03/20/26
"6,710.00",188.94,202.50,20.69%,0.4358,0.0006,-1.7385,12.6505,6.4205,18,451,0.04,38.15%,Call,03/20/26
"6,715.00",226.00,199.70,20.62%,0.4326,0.0006,-1.7299,12.6333,6.3763,0,581,0.00,37.83%,Call,03/19/26
"6,720.00",201.70,197.10,20.57%,0.4294,0.0006,-1.7224,12.6157,6.3327,3,"1,202",0.00,37.53%,Call,03/20/26
"6,725.00",196.90,194.45,20.51%,0.4262,0.0006,-1.7143,12.5971,6.2885,4,"4,647",0.00,37.21%,Call,03/20/26
"6,730.00",175.10,191.75,20.45%,0.4230,0.0006,-1.7057,12.5774,6.2439,2,"1,374",0.00,36.90%,Call,03/20/26
"6,735.00",171.80,189.10,20.39%,0.4198,0.0006,-1.6972,12.5568,6.1991,20,"1,694",0.01,36.58%,Call,03/20/26
"6,740.00",173.60,186.25,20.31%,0.4164,0.0006,-1.6873,12.5346,6.1531,29,"2,266",0.01,36.26%,Call,03/20/26
"6,745.00",167.40,183.75,20.26%,0.4132,0.0006,-1.6794,12.5125,6.1085,1,"1,077",0.00,35.95%,Call,03/20/26
"6,750.00",165.73,181.30,20.21%,0.4100,0.0006,-1.6715,12.4897,6.0640,28,"23,276",0.00,35.64%,Call,03/20/26
"6,755.00",163.20,178.65,20.15%,0.4067,0.0006,-1.6623,12.4651,6.0180,1,"2,645",0.00,35.32%,Call,03/20/26
"6,760.00",199.70,175.95,20.07%,0.4034,0.0006,-1.6524,12.4392,5.9714,0,"2,773",0.00,34.99%,Call,03/19/26
"6,765.00",155.80,173.55,20.03%,0.4002,0.0006,-1.6443,12.4136,5.9263,1,"1,897",0.00,34.68%,Call,03/20/26
"6,770.00",189.60,171.00,19.97%,0.3969,0.0006,-1.6350,12.3862,5.8800,0,"2,772",0.00,34.36%,Call,03/19/26
"6,775.00",158.10,168.35,19.89%,0.3935,0.0006,-1.6249,12.3573,5.8327,5,"8,232",0.00,34.03%,Call,03/20/26
"6,780.00",151.60,165.85,19.83%,0.3902,0.0006,-1.6155,12.3280,5.7861,8,"2,142",0.00,33.71%,Call,03/20/26
"6,785.00",146.50,163.50,19.78%,0.3869,0.0006,-1.6069,12.2984,5.7402,1,"1,925",0.00,33.39%,Call,03/20/26
"6,790.00",238.00,160.90,19.71%,0.3835,0.0006,-1.5964,12.2663,5.6923,0,"1,184",0.00,33.06%,Call,03/17/26
"6,795.00",165.58,158.50,19.66%,0.3802,0.0006,-1.5870,12.2342,5.6454,1,"1,177",0.00,32.74%,Call,03/20/26
"6,800.00",149.86,156.20,19.61%,0.3769,0.0006,-1.5781,12.2016,5.5991,663,"34,729",0.02,32.43%,Call,03/20/26
"6,805.00",154.82,154.82,19.63%,0.3742,0.0006,-1.5751,12.1743,5.5599,22,403,0.05,32.18%,Call,03/20/26
"6,810.00",136.60,151.50,19.50%,0.3702,0.0006,-1.5590,12.1326,5.5047,2,157,0.01,31.79%,Call,03/20/26
"6,815.00",135.10,149.05,19.43%,0.3668,0.0006,-1.5484,12.0955,5.4562,3,442,0.01,31.46%,Call,03/20/26
"6,820.00",133.00,146.55,19.36%,0.3633,0.0006,-1.5372,12.0568,5.4069,17,"1,110",0.02,31.13%,Call,03/20/26
"6,825.00",157.30,144.40,19.31%,0.3600,0.0006,-1.5283,12.0197,5.3604,0,"1,916",0.00,30.81%,Call,03/19/26
"6,830.00",127.60,142.10,19.26%,0.3566,0.0006,-1.5181,11.9802,5.3123,2,42,0.05,30.49%,Call,03/20/26
"6,835.00",208.70,139.70,19.19%,0.3532,0.0006,-1.5069,11.9386,5.2628,0,109,0.00,30.16%,Call,03/16/26
"6,840.00",124.70,137.35,19.12%,0.3497,0.0006,-1.4959,11.8960,5.2135,14,26,0.54,29.83%,Call,03/20/26
"6,845.00",124.00,135.10,19.06%,0.3463,0.0006,-1.4854,11.8532,5.1648,14,26,0.54,29.50%,Call,03/20/26
"6,850.00",122.31,132.85,19.00%,0.3428,0.0006,-1.4746,11.8090,5.1158,386,"16,471",0.02,29.18%,Call,03/20/26
"6,855.00",120.50,130.55,18.94%,0.3393,0.0006,-1.4632,11.7630,5.0659,1,112,0.01,28.84%,Call,03/20/26
"6,860.00",120.10,128.55,18.90%,0.3361,0.0006,-1.4538,11.7190,5.0189,3,67,0.04,28.54%,Call,03/20/26
"6,865.00",135.70,126.15,18.82%,0.3324,0.0006,-1.4413,11.6691,4.9672,7,157,0.04,28.19%,Call,03/20/26
"6,870.00",155.70,124.10,18.77%,0.3291,0.0006,-1.4311,11.6220,4.9190,0,138,0.00,27.87%,Call,03/18/26
"6,875.00",127.30,121.95,18.71%,0.3256,0.0006,-1.4199,11.5723,4.8694,4,"1,483",0.00,27.55%,Call,03/20/26
"6,880.00",108.20,119.75,18.64%,0.3221,0.0006,-1.4081,11.5206,4.8189,2,68,0.03,27.22%,Call,03/20/26
"6,885.00",106.20,117.60,18.58%,0.3186,0.0006,-1.3965,11.4681,4.7686,5,45,0.11,26.89%,Call,03/20/26
"6,890.00",114.07,115.55,18.53%,0.3152,0.0006,-1.3853,11.4156,4.7191,3,50,0.06,26.56%,Call,03/20/26
"6,895.00",118.68,113.50,18.47%,0.3117,0.0006,-1.3740,11.3617,4.6694,1,80,0.01,26.24%,Call,03/20/26
"6,900.00",106.58,111.45,18.41%,0.3082,0.0006,-1.3624,11.3064,4.6193,746,"14,859",0.05,25.91%,Call,03/20/26
"6,905.00",98.60,109.60,18.37%,0.3050,0.0006,-1.3522,11.2529,4.5716,4,31,0.13,25.61%,Call,03/20/26
"6,910.00",96.70,107.45,18.30%,0.3013,0.0006,-1.3393,11.1930,4.5194,2,140,0.01,25.27%,Call,03/20/26
"6,915.00",132.90,105.45,18.24%,0.2979,0.0006,-1.3274,11.1342,4.4690,0,175,0.00,24.94%,Call,03/18/26
"6,920.00",102.07,103.55,18.18%,0.2944,0.0006,-1.3161,11.0756,4.4197,1,143,0.01,24.63%,Call,03/20/26
"6,925.00",96.98,101.60,18.12%,0.2910,0.0006,-1.3041,11.0147,4.3693,76,"3,050",0.02,24.30%,Call,03/20/26
"6,930.00",89.69,99.70,18.07%,0.2875,0.0006,-1.2924,10.9533,4.3193,6,241,0.02,23.98%,Call,03/20/26
"6,935.00",94.60,97.95,18.02%,0.2842,0.0006,-1.2816,10.8935,4.2713,12,4,3.00,23.68%,Call,03/20/26
"6,940.00",85.30,96.05,17.97%,0.2808,0.0006,-1.2693,10.8291,4.2207,1,270,0.00,23.36%,Call,03/20/26
"6,945.00",97.00,94.15,17.90%,0.2772,0.0006,-1.2568,10.7630,4.1696,1,14,0.07,23.03%,Call,03/20/26
"6,950.00",88.12,92.30,17.85%,0.2738,0.0006,-1.2445,10.6966,4.1191,13,"8,667",0.00,22.71%,Call,03/20/26
"6,955.00",80.90,90.50,17.79%,0.2703,0.0006,-1.2324,10.6297,4.0690,4,14,0.29,22.40%,Call,03/20/26
"6,960.00",79.59,88.80,17.74%,0.2670,0.0006,-1.2209,10.5637,4.0203,100,486,0.21,22.09%,Call,03/20/26
"6,965.00",77.60,86.90,17.67%,0.2634,0.0006,-1.2075,10.4912,3.9679,6,63,0.10,21.76%,Call,03/20/26
"6,970.00",75.10,85.30,17.63%,0.2602,0.0006,-1.1964,10.4247,3.9203,51,120,0.43,21.46%,Call,03/20/26
"6,975.00",81.10,83.60,17.58%,0.2568,0.0006,-1.1842,10.3542,3.8707,344,"1,840",0.19,21.15%,Call,03/20/26
"6,980.00",73.30,81.95,17.53%,0.2534,0.0006,-1.1723,10.2835,3.8217,9,170,0.05,20.85%,Call,03/20/26
"6,985.00",71.80,80.15,17.46%,0.2499,0.0006,-1.1587,10.2068,3.7695,1,36,0.03,20.52%,Call,03/20/26
"6,990.00",127.50,78.55,17.41%,0.2466,0.0006,-1.1468,10.1344,3.7208,0,108,0.00,20.22%,Call,03/17/26
"7,000.00",71.16,75.30,17.30%,0.2398,0.0006,-1.1217,9.9832,3.6214,"14,019","263,491",0.05,19.61%,Call,03/20/26
"7,010.00",66.55,72.15,17.20%,0.2331,0.0006,-1.0967,9.8286,3.5228,190,853,0.22,19.00%,Call,03/20/26
"7,020.00",61.70,69.15,17.10%,0.2265,0.0005,-1.0722,9.6728,3.4260,50,213,0.23,18.41%,Call,03/20/26
"7,025.00",68.97,68.97,17.18%,0.2252,0.0005,-1.0729,9.6417,3.4060,19,805,0.02,18.30%,Call,03/20/26
"7,030.00",60.43,66.15,16.99%,0.2199,0.0005,-1.0468,9.5104,3.3280,53,197,0.27,17.81%,Call,03/20/26
"7,040.00",74.50,63.30,16.89%,0.2134,0.0005,-1.0219,9.3472,3.2321,0,248,0.00,17.23%,Call,03/19/26
"7,050.00",58.40,60.55,16.79%,0.2070,0.0005,-0.9973,9.1817,3.1373,611,"6,624",0.09,16.66%,Call,03/20/26
"7,060.00",50.30,57.80,16.69%,0.2005,0.0005,-0.9717,9.0095,3.0413,6,383,0.02,16.09%,Call,03/20/26
"7,070.00",48.10,55.35,16.61%,0.1945,0.0005,-0.9486,8.8449,2.9517,7,112,0.06,15.56%,Call,03/20/26
"7,075.00",51.80,54.05,16.56%,0.1914,0.0005,-0.9359,8.7567,2.9046,3,"1,571",0.00,15.28%,Call,03/20/26
"7,080.00",47.00,52.85,16.51%,0.1883,0.0005,-0.9241,8.6718,2.8599,1,135,0.01,15.01%,Call,03/20/26
"7,090.00",43.50,50.45,16.42%,0.1823,0.0005,-0.8998,8.4975,2.7696,3,133,0.02,14.48%,Call,03/20/26
"7,100.00",43.51,47.65,16.28%,0.1754,0.0005,-0.8699,8.2935,2.6669,317,"16,361",0.02,13.87%,Call,03/20/26
"7,110.00",39.50,45.60,16.21%,0.1699,0.0005,-0.8481,8.1258,2.5841,9,592,0.02,13.39%,Call,03/20/26
"7,120.00",37.60,43.40,16.12%,0.1640,0.0005,-0.8237,7.9431,2.4961,124,261,0.48,12.88%,Call,03/20/26
"7,125.00",37.00,42.30,16.07%,0.1610,0.0005,-0.8112,7.8492,2.4516,8,977,0.01,12.63%,Call,03/20/26
"7,130.00",38.50,41.30,16.03%,0.1582,0.0005,-0.7997,7.7603,2.4100,2,277,0.01,12.39%,Call,03/20/26
"7,140.00",37.00,39.20,15.94%,0.1524,0.0005,-0.7749,7.5710,2.3229,9,274,0.03,11.89%,Call,03/20/26
"7,150.00",33.10,37.25,15.85%,0.1469,0.0005,-0.7513,7.3859,2.2396,"1,663","8,677",0.19,11.41%,Call,03/20/26
"7,160.00",32.00,35.45,15.78%,0.1416,0.0004,-0.7290,7.2061,2.1603,31,319,0.10,10.96%,Call,03/20/26
"7,170.00",42.40,33.85,15.72%,0.1367,0.0004,-0.7088,7.0367,2.0871,0,182,0.00,10.55%,Call,03/19/26
"7,175.00",39.89,33.00,15.69%,0.1342,0.0004,-0.6977,6.9462,2.0485,0,867,0.00,10.34%,Call,03/19/26
"7,180.00",28.10,32.20,15.65%,0.1317,0.0004,-0.6872,6.8584,2.0115,1,193,0.01,10.13%,Call,03/20/26
"7,190.00",31.50,31.50,15.72%,0.1289,0.0004,-0.6791,6.7584,1.9693,7,154,0.05,9.90%,Call,03/20/26
"7,200.00",28.10,28.10,15.37%,0.1195,0.0004,-0.6297,6.4091,1.8281,532,"13,220",0.04,9.10%,Call,03/20/26
"7,210.00",23.60,27.50,15.43%,0.1170,0.0004,-0.6222,6.3132,1.7896,71,261,0.27,8.90%,Call,03/20/26
"7,220.00",23.40,26.15,15.38%,0.1126,0.0004,-0.6026,6.1419,1.7224,20,612,0.03,8.53%,Call,03/20/26
"7,225.00",23.20,25.45,15.34%,0.1103,0.0004,-0.5921,6.0518,1.6877,1,"1,589",0.00,8.34%,Call,03/20/26
"7,230.00",21.67,24.60,15.28%,0.1075,0.0004,-0.5791,5.9445,1.6467,73,271,0.27,8.11%,Call,03/20/26
"7,240.00",21.35,23.50,15.25%,0.1037,0.0004,-0.5624,5.7901,1.5884,29,202,0.14,7.80%,Call,03/20/26
"7,250.00",21.20,21.20,14.99%,0.0965,0.0004,-0.5244,5.4921,1.4792,98,"8,207",0.01,7.20%,Call,03/20/26
"7,260.00",19.00,21.15,15.14%,0.0955,0.0003,-0.5249,5.4532,1.4645,2,68,0.03,7.13%,Call,03/20/26
"7,270.00",22.00,20.10,15.09%,0.0918,0.0003,-0.5076,5.2934,1.4073,0,"1,489",0.00,6.83%,Call,03/19/26
"7,275.00",19.90,19.90,15.13%,0.0908,0.0003,-0.5047,5.2528,1.3927,5,988,0.01,6.75%,Call,03/20/26
"7,280.00",19.65,19.65,15.16%,0.0897,0.0003,-0.5008,5.2060,1.3760,1,148,0.01,6.67%,Call,03/20/26
"7,290.00",17.68,17.68,14.91%,0.0832,0.0003,-0.4655,4.9191,1.2769,16,"1,025",0.02,6.13%,Call,03/20/26
"7,300.00",15.30,17.10,14.94%,0.0808,0.0003,-0.4556,4.8106,1.2398,50,"10,139",0.00,5.94%,Call,03/20/26
"7,310.00",15.50,15.50,14.74%,0.0751,0.0003,-0.4254,4.5541,1.1544,2,316,0.01,5.48%,Call,03/20/26
"7,320.00",13.80,15.40,14.86%,0.0742,0.0003,-0.4244,4.5120,1.1402,3,99,0.03,5.42%,Call,03/20/26
"7,325.00",13.80,15.00,14.84%,0.0727,0.0003,-0.4168,4.4391,1.1164,3,"1,988",0.00,5.30%,Call,03/20/26
"7,330.00",13.10,14.60,14.82%,0.0711,0.0003,-0.4092,4.3654,1.0925,1,252,0.00,5.17%,Call,03/20/26
"7,340.00",12.79,13.80,14.78%,0.0679,0.0003,-0.3936,4.2155,1.0444,18,140,0.13,4.93%,Call,03/20/26
"7,350.00",12.29,13.25,14.78%,0.0656,0.0003,-0.3828,4.1028,1.0086,"1,185","3,495",0.34,4.74%,Call,03/20/26
"7,360.00",16.30,12.45,14.72%,0.0624,0.0003,-0.3665,3.9471,0.9601,0,176,0.00,4.49%,Call,03/18/26
"7,370.00",10.50,11.80,14.69%,0.0597,0.0003,-0.3530,3.8133,0.9189,1,77,0.01,4.29%,Call,03/20/26
"7,375.00",9.86,11.50,14.67%,0.0584,0.0002,-0.3467,3.7499,0.8996,161,"3,811",0.04,4.19%,Call,03/20/26
"7,380.00",11.60,11.60,14.77%,0.0586,0.0002,-0.3493,3.7562,0.9013,20,177,0.11,4.20%,Call,03/20/26
"7,390.00",9.15,10.50,14.60%,0.0543,0.0002,-0.3250,3.5376,0.8359,13,141,0.09,3.87%,Call,03/20/26
"7,400.00",9.20,9.20,14.34%,0.0491,0.0002,-0.2951,3.2686,0.7575,37,"11,034",0.00,3.46%,Call,03/20/26
"7,425.00",8.42,8.42,14.42%,0.0453,0.0002,-0.2773,3.0632,0.6987,2,"1,238",0.00,3.18%,Call,03/20/26
"7,450.00",7.01,7.01,14.24%,0.0390,0.0002,-0.2424,2.7152,0.6026,63,"6,018",0.01,2.70%,Call,03/20/26
"7,475.00",6.00,6.95,14.52%,0.0381,0.0002,-0.2417,2.6622,0.5879,16,"2,729",0.01,2.65%,Call,03/20/26
"7,500.00",5.10,6.05,14.46%,0.0339,0.0002,-0.2182,2.4166,0.5227,260,"21,351",0.01,2.33%,Call,03/20/26
"7,525.00",4.62,5.30,14.43%,0.0302,0.0001,-0.1978,2.1988,0.4664,80,436,0.18,2.06%,Call,03/20/26
"7,550.00",4.00,4.00,14.07%,0.0241,0.0001,-0.1594,1.8199,0.3724,95,"3,704",0.03,1.61%,Call,03/20/26
"7,575.00",4.10,4.15,14.43%,0.0243,0.0001,-0.1646,1.8365,0.3762,0,162,0.00,1.64%,Call,03/19/26
"7,600.00",3.20,3.20,14.13%,0.0197,0.0001,-0.1345,1.5337,0.3043,4,"13,567",0.00,1.30%,Call,03/20/26
"7,625.00",3.14,3.14,14.36%,0.0191,0.0001,-0.1329,1.4942,0.2950,54,196,0.28,1.26%,Call,03/20/26
